year,table_label,country,broadcaster,artist,song,language,songwriter_s,conductor,total_score,order_s,str
1956,results | table 1,belgium,INR,Fud Leclerc,"""Messieurs les noyés de la Seine""",French,Jean MiretRobert Montal Jack Say,Léo Souris,0,3,final
1956,results | table 1,belgium,INR,Mony Marc,"""Le Plus Beau Jour de ma vie""",French,Claude AlixDavid Bee,Léo Souris,0,10,final
1956,results | table 1,france,RTF,Mathé Altéry,"""Le Temps perdu""",French,André LodgeRachèle Thoreau,Franck Pourcel,0,5,final
1956,results | table 1,france,RTF,Dany Dauberson,"""Il est là""",French,Simone Vallauris,Franck Pourcel,0,12,final
1956,results | table 1,germany,NWRV,Freddy Quinn,"""So geht das jede Nacht""",German,Peter Moesser Lotar Olias,Fernando Paggi,0,11,final
1956,results | table 1,germany,NWRV,Walter Andreas Schwarz,"""Im Wartesaal zum großen Glück""",German,Walter Andreas Schwarz,Fernando Paggi,0,4,final
1956,results | table 1,italy,RAI,Franca Raimondi,"""Aprite le finestre""",Italian,Virgilio Panzuti Pino Perotti,Gian Stellari,0,7,final
1956,results | table 1,italy,RAI,Tonina Torrielli,"""Amami se vuoi""",Italian,Vittorio Mascheroni Mario Panzeri,Gian Stellari,0,14,final
1956,results | table 1,luxembourg,CLT,Michèle Arnaud,"""Les Amants de minuit""",French,Pierre LambrySimone Laurencin,Jacques Lasry,0,13,final
1956,results | table 1,luxembourg,CLT,Michèle Arnaud,"""Ne crois pas""",French,Christian Guittreau,Jacques Lasry,0,6,final
1956,results | table 1,netherlands,NTS,Corry Brokken,"""Voorgoed voorbij""",Dutch,Jelle de Vries,Fernando Paggi,0,8,final
1956,results | table 1,netherlands,NTS,Jetty Paerl,"""De vogels van Holland""",Dutch,Cor Lemaire Annie M.G. Schmidt,Fernando Paggi,0,1,final
1956,results | table 1,switzerland,SRG SSR,Lys Assia,"""Das alte Karussell""",German,Georg Betz-Stahl,Fernando Paggi,0,2,final
1956,results | table 1,switzerland,SRG SSR,Lys Assia,"""Refrain""",French,Émile GardazGéo Voumard,Fernando Paggi,1,9,final
