year,performing_country,total_score,place,switzerland,france,netherlands,austria,united_kingdom,belgium,sweden,norway,finland,spain,portugal,ireland,malta,greece,turkey,cyprus,iceland,slovenia,bosnia_and_herzegovina,croatia,estonia,slovakia,poland,str
1996,turkey,57,12,6,4,7,0,6,5,0,0,5,8,0,0,10,0,0,0,0,0,5,1,0,0,0,final
1996,united_kingdom,77,8,4,8,0,3,0,12,6,0,0,0,12,3,6,0,3,1,4,0,0,7,2,6,0,final
1996,spain,17,20,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,2,0,0,0,4,0,0,0,final
1996,portugal,92,6,10,5,6,1,2,6,4,12,3,0,0,0,0,5,5,12,10,0,1,10,0,0,0,final
1996,cyprus,72,9,5,2,0,2,12,0,2,0,6,7,3,1,2,12,0,0,0,0,0,8,0,10,0,final
1996,malta,68,10,0,0,0,0,0,0,5,1,0,10,0,0,0,8,10,0,0,4,0,12,0,12,6,final
1996,croatia,98,4,1,0,5,0,4,4,1,7,0,5,10,6,7,1,8,8,5,3,10,0,6,5,2,final
1996,austria,68,10,0,12,0,0,0,0,0,0,0,0,5,8,12,2,4,0,0,1,6,0,7,3,8,final
1996,switzerland,22,16,0,0,4,0,3,2,0,0,4,0,0,4,0,0,0,0,3,2,0,0,0,0,0,final
1996,greece,36,14,2,0,1,0,7,0,3,3,0,0,0,0,1,0,0,10,0,0,0,0,0,8,1,final
1996,estonia,94,5,0,1,3,5,10,0,12,8,12,4,0,2,0,0,0,7,12,8,0,0,0,0,10,final
1996,norway,114,2,7,7,10,8,8,8,10,0,7,0,2,7,0,0,2,3,8,10,3,5,5,0,4,final
1996,france,18,19,0,0,0,0,1,7,0,4,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,final
1996,slovenia,16,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,6,0,0,0,final
1996,netherlands,78,7,3,10,0,12,0,1,8,0,0,6,7,5,0,0,1,5,2,5,2,0,4,0,7,final
1996,belgium,22,16,0,0,2,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,1,0,0,final
1996,ireland,162,1,12,6,12,7,0,3,7,10,10,0,8,0,4,10,12,6,0,12,12,0,12,7,12,final
1996,finland,9,23,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,final
1996,iceland,51,13,0,0,0,6,0,0,0,5,0,3,6,10,0,3,0,0,0,6,0,0,8,1,3,final
1996,poland,31,15,0,0,0,4,0,0,0,0,0,0,0,0,0,7,7,4,0,0,7,0,0,2,0,final
1996,bosnia_and_herzegovina,13,22,0,0,0,0,0,0,0,0,1,0,0,0,3,0,6,0,0,0,0,3,0,0,0,final
1996,slovakia,19,18,0,0,0,0,0,0,0,0,0,2,0,0,8,4,0,0,0,0,0,0,0,0,5,final
1996,sweden,100,3,8,3,8,10,0,10,0,6,8,0,4,12,0,0,0,0,6,7,4,0,10,4,0,final
