year,performing_country,total_score,place,str,switzerland,denmark,france,germany,netherlands,austria,italy,united_kingdom,belgium,sweden,norway,finland,spain,portugal,ireland,malta,israel,greece,turkey,cyprus,iceland,slovenia,bosnia_and_herzegovina,croatia,estonia,romania,slovakia,lithuania,hungary,russia,poland,macedonia,latvia,ukraine
1997,cyprus,98,5,final,4,7,4,5,10,0,4,5,0,0,2,0,10,3,3,7,0,12,0,0,12,4,0,4,1,0,0,0,0,1,0,0,0,0
1997,turkey,121,3,final,6,0,6,12,2,7,7,4,0,6,0,0,12,5,2,10,0,7,0,0,7,0,12,0,6,0,0,0,6,4,0,0,0,0
1997,norway,0,24,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,austria,12,21,final,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0
1997,ireland,157,2,final,7,10,10,8,4,10,10,12,0,10,3,0,6,10,0,0,0,0,6,8,0,1,8,6,8,0,0,0,8,5,7,0,0,0
1997,slovenia,60,10,final,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,5,0,3,10,2,3,0,7,3,4,0,0,0,0,10,2,0,0,0
1997,switzerland,5,22,final,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,netherlands,5,22,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,italy,114,4,final,10,4,0,4,7,1,0,3,0,3,0,0,8,12,1,0,0,5,5,6,1,10,6,10,0,0,0,0,3,7,8,0,0,0
1997,spain,96,6,final,8,2,2,2,6,0,3,0,0,0,0,0,0,8,6,12,0,6,4,10,0,5,0,0,0,0,0,0,10,8,4,0,0,0
1997,germany,22,18,final,5,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
1997,poland,54,11,final,0,5,3,6,1,8,1,0,0,0,4,0,2,2,0,0,0,1,0,0,0,7,4,0,3,0,0,0,7,0,0,0,0,0
1997,estonia,82,8,final,0,8,8,7,0,6,12,10,0,1,0,0,4,1,8,0,0,0,0,1,2,3,1,0,0,0,0,0,4,0,6,0,0,0
1997,bosnia_and_herzegovina,22,18,final,2,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1997,portugal,0,24,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,sweden,36,14,final,0,6,0,0,0,0,0,7,0,0,8,0,0,0,5,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
1997,greece,39,12,final,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,6,0,0,0,12,0,0,0,7,0,0,0,0,0,2,0,0,0,0
1997,malta,66,9,final,0,3,1,0,0,0,6,0,0,0,10,0,1,0,7,0,0,8,12,5,0,0,5,8,0,0,0,0,0,0,0,0,0,0
1997,hungary,39,12,final,0,0,5,0,0,0,0,8,0,0,0,0,0,0,4,2,0,0,3,0,5,0,0,2,5,0,0,0,0,0,5,0,0,0
1997,russia,33,15,final,0,0,0,0,8,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,0,0,0,0,0,0
1997,denmark,25,16,final,1,0,0,0,0,0,0,2,0,7,7,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,france,95,7,final,3,1,0,0,5,0,0,0,0,2,12,0,0,6,10,0,0,4,2,3,10,2,3,0,12,0,0,0,2,6,12,0,0,0
1997,croatia,24,17,final,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,8,0,0,0,4,0,0,2,0,0,0,0,0,0,0,3,0,0,0
1997,united_kingdom,227,1,final,12,12,12,10,12,12,8,0,0,12,6,0,5,7,12,1,0,10,7,7,8,8,10,12,10,0,0,0,12,12,10,0,0,0
1997,iceland,18,20,final,0,0,0,0,0,2,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1998,croatia,131,5,final,5,0,8,10,4,0,0,2,5,3,6,3,1,2,3,10,10,5,4,7,0,12,0,0,3,0,10,0,0,0,6,12,0,0
1998,greece,12,20,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,france,3,24,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1998,spain,21,16,final,6,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1998,switzerland,0,25,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,slovakia,8,21,final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1998,poland,19,17,final,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0
1998,israel,172,1,final,10,0,12,7,6,0,0,5,10,5,3,10,10,12,6,12,0,10,5,10,0,7,0,0,7,7,0,0,0,0,10,8,0,0
1998,germany,86,7,final,12,0,0,0,12,0,0,6,7,0,0,1,12,10,8,0,0,3,0,0,0,8,0,0,1,6,0,0,0,0,0,0,0,0
1998,malta,165,3,final,8,0,6,8,8,0,0,12,8,6,12,5,5,5,12,0,7,6,10,5,0,3,0,7,5,0,12,0,7,0,8,0,0,0
1998,hungary,4,23,final,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1998,slovenia,17,18,final,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0
