year,table_label,country,broadcaster,channel_s,commentator_s,broadcaster_8,broadcaster_21,show_s,country_territory,ref_s
1956,broadcasts | Broadcasts [1],Belgium,NIR/INR,INR,Raymond Colbert,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Belgium,NIR/INR,NIR,Piet te Nuyl Jr.,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],France,RTF,RTF,Michelle Rebel,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],France,RTF,Paris-Inter,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Germany,ARD,Deutsches Fernsehen,Irene Koss,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Germany,BR,Radio München,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Germany,RB,Zweites Programm,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Germany,SWF,SWF2,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Italy,RAI,RAI Televisione,Franco Marazzi,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Italy,RAI,Secondo Programma,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Luxembourg,CLT,Télé-Luxembourg,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Netherlands,NTS,NTS,Piet te Nuyl Jr.,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Switzerland,SRG SSR,SRG,Fritz Schäuffele,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Switzerland,SRG SSR,TSR,Raymond Colbert,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Switzerland,SRG SSR,Radio Beromünster,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Switzerland,SRG SSR,Radio Sottens,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [1],Switzerland,SRG SSR,Radio Monte Ceneri,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [2],Austria,ORF,ORF,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [2],Belgian Congo,NIR/INR,RNB Congo,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [2],Denmark,Statsradiofonien,Statsradiofonien TV,Jens Frederik Lawaetz,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [2],Morocco,Radio-Maroc,Radio-Maroc,,NA,NA,NA,NA,NA
1956,broadcasts | Broadcasts [2],United Kingdom,BBC,BBC Television Service,Wilfrid Thomas,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Austria,ORF,ORF,,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Belgium,NIR/INR [fr; nl],"NIR, Brussel Vlaams",,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Belgium,NIR/INR [fr; nl],INR,Robert Beauvais,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Denmark,Statsradiofonien,"Statsradiofonien TV, Program 2",Svend Pedersen,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],France,RTF,"RTF, Paris-Inter",Robert Beauvais,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Germany,ARD,Deutsches Fernsehen,,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Germany,HR,Zweites Programm,,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Germany,WDR,UKW West,,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Italy,RAI,"RAI Televisione, Secondo Programma",,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Luxembourg,CLT,Télé-Luxembourg,Robert Beauvais,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Netherlands,NTS,NTS,Piet te Nuyl Jr.,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Switzerland,SRG SSR,"SRG, Radio Beromünster",,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Switzerland,SRG SSR,TSR,Robert Beauvais,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Switzerland,SRG SSR,Radio Sottens,,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],Switzerland,SRG SSR,Radio Monte Ceneri,,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [1],United Kingdom,BBC,BBC Television Service,Berkeley Smith,NA,NA,NA,NA,NA
1957,broadcasts | Broadcasts [2],Monaco,Télé Monte-Carlo,Télé Monte-Carlo,Robert Beauvais,NA,NA,NA,NA,NA
