year,venue,host_city
1956,Teatro Kursaal,"Lugano, Switzerland"
1957,Großer Sendesaal des Hessischen Rundfunks,"Frankfurt, West Germany"
1958,AVRO Studios,"Hilversum, Netherlands"
1959,Palais des Festivals,"Cannes, France"
1960,Royal Festival Hall,"London, United Kingdom"
1961,Palais des Festivals,"Cannes, France"
1962,Villa Louvigny,"Luxembourg City, Luxembourg"
1963,BBC Television Centre,"London, United Kingdom"
1964,Tivolis Koncertsal,"Copenhagen, Denmark"
1965,Sala di Concerto della RAI,"Naples, Italy"
1966,Villa Louvigny,"Luxembourg City, Luxembourg"
1967,Großer Festsaal der Wiener Hofburg,"Vienna, Austria"
1968,Royal Albert Hall,"London, United Kingdom"
1969,Teatro Real,"Madrid, Spain"
1970,RAI International Congress Centre,"Amsterdam, Netherlands"
1971,Gaiety Theatre,"Dublin, Ireland"
1972,Usher Hall,"Edinburgh, United Kingdom"
1973,Nouveau Théâtre,"Luxembourg City, Luxembourg"
1974,Brighton Dome,"Brighton, United Kingdom"
1975,Stockholmsmässan,"Stockholm, Sweden"
1976,Nederlands Congresgebouw,"The Hague, Netherlands"
1977,Wembley Conference Centre,"London, United Kingdom"
1978,Palais des Congrès,"Paris, France"
1979,International Convention Center,"Jerusalem, Israel"
1980,Nederlands Congresgebouw,"The Hague, Netherlands"
1981,RDS Simmonscourt,"Dublin, Ireland"
1982,Harrogate International Centre,"Harrogate, United Kingdom"
1983,Rudi-Sedlmayer-Halle,"Munich, West Germany"
1984,Théâtre Municipal,"Luxembourg City, Luxembourg"
1985,Scandinavium,"Gothenburg, Sweden"
1986,Grieghallen,"Bergen, Norway"
1987,Centenary Palace,"Brussels, Belgium"
1988,RDS Simmonscourt Pavilion,"Dublin, Ireland"
1989,Palais de Beaulieu,"Lausanne, Switzerland"
1990,Vatroslav Lisinski Concert Hall,"Zagreb, Yugoslavia"
1991,Stage 15Cinecittà Studios,"Rome, Italy"
1992,Malmö Isstadion,"Malmö, Sweden"
1993,Green Glens Arena,"Millstreet, Ireland"
1994,Point Theatre,"Dublin, Ireland"
1995,Point Theatre,"Dublin, Ireland"
1996,Oslo Spektrum,"Oslo, Norway"
1997,Point Theatre,"Dublin, Ireland"
1998,National Indoor Arena,"Birmingham, United Kingdom"
1999,International Convention Centre,"Jerusalem, Israel"
2000,Stockholm Globe Arena,"Stockholm, Sweden"
2001,Parken Stadium,"Copenhagen, Denmark"
2002,Saku Suurhall,"Tallinn, Estonia"
2003,Skonto Hall,"Riga, Latvia"
2004,Abdi İpekçi Arena,"Istanbul, Turkey"
2005,Palace of Sports,"Kyiv, Ukraine"
2006,O.A.C.A. Olympic Indoor Hall,"Athens, Greece"
2007,Hartwall Areena,"Helsinki, Finland"
2008,Belgrade Arena,"Belgrade, Serbia"
2009,Olimpiyskiy Arena,"Moscow, Russia"
2010,Telenor Arena,"Oslo, Norway"
2011,Esprit Arena,"Düsseldorf, Germany"
2012,Baku Crystal Hall,"Baku, Azerbaijan"
2013,Malmö Arena,"Malmö, Sweden"
2014,B&W Hallerne,"Copenhagen, Denmark"
2015,Wiener Stadthalle,"Vienna, Austria"
2016,Ericsson Globe,"Stockholm, Sweden"
2017,International Exhibition Centre,"Kyiv, Ukraine"
2018,Altice Arena,"Lisbon, Portugal"
2019,Pavilion 2Expo Tel Aviv,"Tel Aviv, Israel"
2021,Rotterdam Ahoy,"Rotterdam, Netherlands"
2022,Palasport Olimpico,"Turin, Italy"
2023,M&S Bank Arena Liverpool,"Liverpool, United Kingdom"
2024,Malmö Arena,"Malmö, Sweden"
2025,St. Jakobshalle,"Basel, Switzerland"
2026,Wiener Stadthalle,"Vienna, Austria"
