year,country,broadcaster,artist,song,language,songwriter_s,conductor
1956,Belgium,INR,Fud Leclerc,Messieurs les noyés de la Seine,French,Jean MiretRobert Montal Jack Say,Léo Souris
1956,Belgium,INR,Mony Marc,Le Plus Beau Jour de ma vie,French,Claude AlixDavid Bee,Léo Souris
1956,France,RTF,Mathé Altéry,Le Temps perdu,French,André LodgeRachèle Thoreau,Franck Pourcel
1956,France,RTF,Dany Dauberson,Il est là,French,Simone Vallauris,Franck Pourcel
1956,Germany,NWRV,Freddy Quinn,So geht das jede Nacht,German,Peter Moesser Lotar Olias,Fernando Paggi
1956,Germany,NWRV,Walter Andreas Schwarz,Im Wartesaal zum großen Glück,German,Walter Andreas Schwarz,Fernando Paggi
1956,Italy,RAI,Franca Raimondi,Aprite le finestre,Italian,Virgilio Panzuti Pino Perotti,Gian Stellari
1956,Italy,RAI,Tonina Torrielli,Amami se vuoi,Italian,Vittorio Mascheroni Mario Panzeri,Gian Stellari
1956,Luxembourg,CLT,Michèle Arnaud,Les Amants de minuit,French,Pierre LambrySimone Laurencin,Jacques Lasry
1956,Luxembourg,CLT,Michèle Arnaud,Ne crois pas,French,Christian Guittreau,Jacques Lasry
1956,Netherlands,NTS,Corry Brokken,Voorgoed voorbij,Dutch,Jelle de Vries,Fernando Paggi
1956,Netherlands,NTS,Jetty Paerl,De vogels van Holland,Dutch,Cor Lemaire Annie M.G. Schmidt,Fernando Paggi
1956,Switzerland,SRG SSR,Lys Assia,Das alte Karussell,German,Georg Betz-Stahl,Fernando Paggi
1956,Switzerland,SRG SSR,Lys Assia,Refrain,French,Émile GardazGéo Voumard,Fernando Paggi
1957,Austria,ORF,Bob Martin,"Wohin, kleines Pony?",German,Kurt SvabHans Werner,Carl de Groof
1957,Belgium,NIR [fr; nl],Bobbejaan Schoepen,Straatdeuntje,Dutch,Eric FranssenHarry Frékin,Willy Berking
1957,Denmark,Statsradiofonien,Birthe Wilke and Gustav Winckler,Skibet skal sejle i nat,Danish,Erik Fiehn Poul Sørensen,Kai Mortensen
1957,France,RTF,Paule Desjardins,La Belle Amour,French,Francis CarcoGuy Lafarge,Paul Durand
1957,Germany,HR,Margot Hielscher,"Telefon, Telefon",German,Friedrich Meyer Ralph Maria Siegel,Willy Berking
1957,Italy,RAI,Nunzio Gallo,Corde della mia chitarra,Italian,Giuseppe Fiorelli Mario Ruccione,Armando Trovajoli
1957,Luxembourg,CLT,Danièle Dupré,Tant de peine,French,Jean-Pierre KemmerJacques Taber,Willy Berking
1957,Netherlands,NTS,Corry Brokken,Net als toen,Dutch,Willy van HemertGuus Jansen,Dolf van der Linden
1957,Switzerland,SRG SSR,Lys Assia,L'Enfant que j'étais,French,Émile GardazGéo Voumard,Willy Berking
1957,United Kingdom,BBC,Patricia Bredin,All,English,Alan StranksReynell Wreford,Eric Robinson
1958,Austria,ORF,Liane Augustin,Die ganze Welt braucht Liebe,German,Günther LeopoldKurt Werner,Willy Fantl
1958,Belgium,INR,Fud Leclerc,Ma petite chatte,French,André Dohet,Dolf van der Linden
1958,Denmark,Statsradiofonien,Raquel Rastenni,Jeg rev et blad ud af min dagbog,Danish,Harry Jensen,Kai Mortensen
1958,France,RTF,André Claveau,Dors mon amour,French,Pierre DelanoëHubert Giraud,Franck Pourcel
1958,Germany,NWRV,Margot Hielscher,Für zwei Groschen Musik,German,Walter Brandin Friedrich Meyer Fred Rauch,Dolf van der Linden
1958,Italy,RAI,Domenico Modugno,"Nel blu, dipinto di blu",Italian,Franco MigliacciDomenico Modugno,Alberto Semprini
1958,Luxembourg,CLT,Solange Berry,Un grand amour,French,Michel EricMonique LanieceRaymond Roche,Dolf van der Linden
1958,Netherlands,NTS,Corry Brokken,Heel de wereld,Dutch,Benny Vreden,Dolf van der Linden
1958,Sweden,SR,Alice Babs,Lilla stjärna,Swedish,Åke GerhardGunnar Wersén,Dolf van der Linden
1958,Switzerland,SRG SSR,Lys Assia,Giorgio,"German, Italian",Paul BurkhardFridolin Tschudi,Paul Burkhard
1959,Austria,ORF,Ferry Graf,Der K. und K. Kalypso aus Wien,German,Günther LeopoldNorbert Pawlicki,Franck Pourcel
1959,Belgium,NIR,Bob Benny,Hou toch van mij,Dutch,Hans Flower Ke Riema,Francis Bay
1959,Denmark,DR,Birthe Wilke,"Uh, jeg ville ønske, jeg var dig",Danish,Carl AndersenOtto Lington,Kai Mortensen
1959,France,RTF,Jean Philippe,Oui oui oui oui,French,Pierre CourHubert Giraud,Franck Pourcel
1959,Germany,HR,Alice and Ellen Kessler,Heut' woll'n wir tanzen geh'n,German,Astrid VoltmannHelmut Zander,Franck Pourcel
1959,Italy,RAI,Domenico Modugno,Piove,Italian,Domenico ModugnoDino Verde,William Galassini
1959,Monaco,TMC,Jacques Pills,Mon ami Pierrot,French,Raymond BravardFlorence Véran,Franck Pourcel
1959,Netherlands,NTS,Teddy Scholten,Een beetje,Dutch,Willy van HemertDick Schallies,Dolf van der Linden
1959,Sweden,SR,Brita Borg,Augustin,Swedish,Åke GerhardHarry Sandin,Franck Pourcel
1959,Switzerland,SRG SSR,Christa Williams,Irgendwoher,German,Lothar Löffler,Franck Pourcel
